Term,Category,x,y
30 inch HDTV with DVD player,Entertainment/Tech,-30.932291,3.9088204
30 inch HDTV with Netflix,Entertainment/Tech,-40.344658,-24.880634
"30 inch HDTV with Netflix, premium cable",Entertainment/Tech,-44.866436,-24.393951
30 inch HDTV with standard cable,Entertainment/Tech,-23.655867,11.630334
"30 inch HDTV with standard cable, Chromecast, Disney+, Netflix",Entertainment/Tech,-72.30366,6.729252
30 inch TV,Entertainment/Tech,-23.005892,-0.019975198
"30 inch TV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-77.826355,-17.192019
30 inch TV with Apple TV,Entertainment/Tech,-48.34254,1.9280605
30 inch TV with Chromecast,Entertainment/Tech,-82.967964,10.099423
"30 inch TV with Chromecast, Netflix",Entertainment/Tech,-83.31251,7.5896006
30 inch TV with Netflix,Entertainment/Tech,-40.411274,-24.978178
30ml conditioning shampoo  shampoo,Bathroom/Bedroom,36.091694,48.42459
"31 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-75.14739,-19.49846
"31 inch HDTV with Netflix, standard cable",Entertainment/Tech,-46.583538,-24.399288
31 inch TV with standard cable,Entertainment/Tech,-23.644688,9.109892
32 inch HDTV,Entertainment/Tech,-23.10173,-1.3900075
"32 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Hulu, Netflix",Entertainment/Tech,-76.557106,-17.143162
"32 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix",Entertainment/Tech,-76.76441,-17.50567
"32 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, premium cable",Entertainment/Tech,-76.47159,-17.674696
"32 inch HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix",Entertainment/Tech,-76.22465,-17.23679
"32 inch HDTV with Amazon Prime Video, Apple TV, Netflix",Entertainment/Tech,-75.90655,-18.18673
"32 inch HDTV with Amazon Prime Video, Apple TV, premium cable, Netflix",Entertainment/Tech,-76.086,-17.908161
"32 inch HDTV with Amazon Prime Video, Chromecast, Netflix",Entertainment/Tech,-80.56409,-4.0685115
"32 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-77.02592,-17.561646
"32 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-75.198265,-19.447884
"32 inch HDTV with Amazon Prime Video, Netflix, Chromecast",Entertainment/Tech,-80.56447,-4.0514526
"32 inch HDTV with Amazon Prime Video, Netflix, Fire TV",Entertainment/Tech,-75.73412,-18.84148
"32 inch HDTV with Amazon Prime Video, standard cable",Entertainment/Tech,-57.96098,-21.349373
"32 inch HDTV with Apple TV, DVD player, Netflix, Roku",Entertainment/Tech,-47.174576,-3.0009258
"32 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-48.02459,-2.160989
"32 inch HDTV with Apple TV, Netflix, standard cable",Entertainment/Tech,-47.796455,-2.9323294
32 inch HDTV with Chromecast,Entertainment/Tech,-81.770004,9.507118
"32 inch HDTV with Chromecast, Apple TV",Entertainment/Tech,-81.76389,9.271022
"32 inch HDTV with Chromecast, Disney+, Netflix",Entertainment/Tech,-71.995056,5.55715
"32 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-82.131676,7.4964066
"32 inch HDTV with Chromecast, Netflix, premium cable",Entertainment/Tech,-74.22263,7.217681
"32 inch HDTV with Chromecast, Netflix, standard cable",Entertainment/Tech,-74.13067,7.2164707
32 inch HDTV with Disney+,Entertainment/Tech,-66.32462,7.251941
"32 inch HDTV with Disney+, Netflix",Entertainment/Tech,-66.67701,6.089368
"32 inch HDTV with Disney+, Netflix, Chromecast",Entertainment/Tech,-71.912155,5.524614
"32 inch HDTV with Disney+, Netflix, standard cable",Entertainment/Tech,-67.80998,6.441028
32 inch HDTV with Fire TV,Entertainment/Tech,-37.452854,-2.0568228
32 inch HDTV with Netflix,Entertainment/Tech,-42.51229,-24.493608
"32 inch HDTV with Netflix, Amazon Prime Video",Entertainment/Tech,-75.15152,-19.613531
"32 inch HDTV with Netflix, Apple TV",Entertainment/Tech,-47.98478,-2.1269884
"32 inch HDTV with Netflix, Chromecast",Entertainment/Tech,-82.139946,7.4548473
"32 inch HDTV with Netflix, Chromecast, Apple TV, Amazon Prime Video, Disney+, standard cable",Entertainment/Tech,-71.83378,7.1503606
"32 inch HDTV with Netflix, Chromecast, Disney+, Apple TV",Entertainment/Tech,-71.98369,5.682969
"32 inch HDTV with Netflix, DVD player",Entertainment/Tech,-42.852554,-24.393053
"32 inch HDTV with Netflix, Disney+",Entertainment/Tech,-66.720726,6.0788064
"32 inch HDTV with Netflix, Disney+, Chromecast, standard cable",Entertainment/Tech,-72.271095,6.5243096
"32 inch HDTV with Netflix, Hulu",Entertainment/Tech,-42.964424,-25.10591
"32 inch HDTV with Netflix, Roku",Entertainment/Tech,-33.87966,-8.0295105
"32 inch HDTV with Netflix, premium cable",Entertainment/Tech,-45.989513,-23.745634
"32 inch HDTV with Netflix, premium cable, standard cable",Entertainment/Tech,-46.83132,-23.666822
"32 inch HDTV with Netflix, standard cable",Entertainment/Tech,-46.424877,-24.127703
"32 inch HDTV with Netflix, standard cable, Amazon Prime Video",Entertainment/Tech,-48.124027,-24.035664
"32 inch HDTV with Netflix, standard cable, premium cable",Entertainment/Tech,-46.802345,-23.657333
32 inch HDTV with Roku,Entertainment/Tech,-33.691246,-7.5595365
32 inch HDTV with premium cable,Entertainment/Tech,-25.168892,8.6287775
"32 inch HDTV with premium cable, DVD player",Entertainment/Tech,-26.045286,7.6425695
"32 inch HDTV with premium cable, Netflix",Entertainment/Tech,-46.00667,-23.67958
"32 inch HDTV with premium cable, standard cable",Entertainment/Tech,-24.98534,8.77903
32 inch HDTV with standard cable,Entertainment/Tech,-24.447186,9.090505
"32 inch HDTV with standard cable, Amazon Prime Video",Entertainment/Tech,-57.95427,-21.361044
"32 inch HDTV with standard cable, Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix",Entertainment/Tech,-71.75675,7.2267103
"32 inch HDTV with standard cable, Netflix",Entertainment/Tech,-46.459435,-24.07519
"32 inch HDTV with standard cable, Netflix, DVD player",Entertainment/Tech,-47.4177,-23.886925
"32 inch HDTV with standard cable, Netflix, Disney+, Chromecast",Entertainment/Tech,-72.27499,6.486152
"32 inch HDTV with standard cable, Netflix, Disney+, Chromecast, Amazon Prime Video, Apple TV",Entertainment/Tech,-71.796265,7.171625
"32 inch HDTV with standard cable, premium cable, Chromecast, Netflix",Entertainment/Tech,-73.684006,7.163897
32 inch TV,Entertainment/Tech,-23.80564,0.018066714
"32 inch TV with Amazon Prime Video, Apple TV, Disney+, Netflix",Entertainment/Tech,-77.02887,-17.426249
"32 inch TV with Amazon Prime Video, Netflix",Entertainment/Tech,-75.16301,-19.722456
32 inch TV with Apple TV,Entertainment/Tech,-48.46765,1.8900671
"32 inch TV with Apple TV, Netflix",Entertainment/Tech,-47.902515,-1.9381908
32 inch TV with Chromecast,Entertainment/Tech,-82.07549,9.59954
"32 inch TV with Chromecast, Netflix",Entertainment/Tech,-82.25149,7.5415564
"32 inch TV with DVD player, standard cable",Entertainment/Tech,-26.465961,7.169239
"32 inch TV with Disney+, Netflix",Entertainment/Tech,-66.88068,6.0852017
"32 inch TV with Disney+, Netflix, standard cable",Entertainment/Tech,-67.792564,6.434096
"32 inch TV with Fire TV, Netflix",Entertainment/Tech,-37.215492,-4.1655855
32 inch TV with Netflix,Entertainment/Tech,-42.208942,-24.506136
"32 inch TV with Netflix, Amazon Prime Video",Entertainment/Tech,-75.14194,-19.823448
"32 inch TV with Netflix, Roku",Entertainment/Tech,-33.896698,-8.072851
"32 inch TV with Netflix, premium cable",Entertainment/Tech,-45.74015,-23.829548
"32 inch TV with Netflix, standard cable",Entertainment/Tech,-46.126705,-24.338308
32 inch TV with premium cable,Entertainment/Tech,-25.009182,8.642693
"32 inch TV with premium cable, standard cable",Entertainment/Tech,-24.862324,8.653846
32 inch TV with standard cable,Entertainment/Tech,-23.96998,8.9208975
320 inch TV with Netflix,Entertainment/Tech,-41.91542,-24.942503
"33 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-82.229866,7.3902636
"33 inch HDTV with Netflix, standard cable",Entertainment/Tech,-46.686947,-24.40891
33 inch TV,Entertainment/Tech,-23.949497,0.12532526
33 inch TV with standard cable,Entertainment/Tech,-23.649199,9.098444
34 inch HDTV,Entertainment/Tech,-23.037823,-1.6525465
"34 inch HDTV with Fire TV, Netflix",Entertainment/Tech,-37.388756,-4.0537233
34 inch HDTV with Netflix,Entertainment/Tech,-40.963318,-23.647339
"34 inch HDTV with Netflix, premium cable, standard cable",Entertainment/Tech,-47.035557,-22.752268
34 inch HDTV with premium cable,Entertainment/Tech,-24.857088,9.985452
"34 inch HDTV with premium cable, Netflix",Entertainment/Tech,-46.862965,-22.746798
34 inch HDTV with standard cable,Entertainment/Tech,-24.562561,10.146513
"34 inch HDTV with standard cable, premium cable",Entertainment/Tech,-24.73074,10.067657
34 inch TV,Entertainment/Tech,-24.160088,-0.060512587
"34 inch TV with Amazon Prime Video, Apple TV, standard cable",Entertainment/Tech,-58.486347,-19.732803
"34 inch TV with Amazon Prime Video, Apple TV, standard cable, DVD player",Entertainment/Tech,-58.469025,-19.609211
34 inch TV with DVD player,Entertainment/Tech,-30.433392,3.9537778
34 inch TV with Netflix,Entertainment/Tech,-41.216957,-23.776457
"34 inch TV with Netflix, Apple TV",Entertainment/Tech,-47.79025,-1.8017577
35 inch HDTV,Entertainment/Tech,-22.9653,-1.8423754
"35 inch HDTV with Amazon Prime Video, Apple TV, HBO Max, Hulu, Netflix",Entertainment/Tech,-76.33168,-15.015671
"35 inch HDTV with Chromecast, standard cable",Entertainment/Tech,-76.77252,11.111748
35 inch HDTV with Netflix,Entertainment/Tech,-40.40738,-23.366095
"35 inch HDTV with Netflix, Amazon Prime Video, premium cable, standard cable",Entertainment/Tech,-57.066284,-17.751274
"35 inch HDTV with Netflix, Apple TV, Amazon Prime Video, Disney+",Entertainment/Tech,-76.71856,-12.000995
"35 inch HDTV with standard cable, Chromecast, Apple TV",Entertainment/Tech,-76.45708,11.308403
35 inch TV,Entertainment/Tech,-24.30503,-0.28485245
"35 inch TV with Amazon Prime Video, Netflix, Roku, standard cable, DVD player",Entertainment/Tech,-57.841927,-18.517223
"35 inch TV with Amazon Prime Video, Roku, standard cable, DVD player",Entertainment/Tech,-57.876347,-18.553963
36 inch HDTV,Entertainment/Tech,-23.203829,-2.3391294
"36 inch HDTV with Amazon Prime Video, Apple TV, Netflix",Entertainment/Tech,-74.38307,-18.3495
"36 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-74.196976,-18.645395
"36 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-48.80788,-2.7508326
"36 inch HDTV with Apple TV, standard cable, Netflix",Entertainment/Tech,-48.435997,-3.1790926
36 inch HDTV with Fire TV,Entertainment/Tech,-37.453945,-2.0583687
36 inch HDTV with Netflix,Entertainment/Tech,-41.309345,-22.96207
"36 inch HDTV with Netflix, premium cable",Entertainment/Tech,-46.160355,-21.69094
"36 inch HDTV with Netflix, standard cable",Entertainment/Tech,-46.29237,-21.683266
36 inch HDTV with standard cable,Entertainment/Tech,-24.935751,10.4741745
"36 inch HDTV with standard cable, premium cable, Netflix",Entertainment/Tech,-46.54332,-21.58396
36 inch TV,Entertainment/Tech,-24.688932,-0.44906983
36 inch TV with Netflix,Entertainment/Tech,-41.384617,-22.974672
"36 inch TV with Netflix, premium cable",Entertainment/Tech,-45.944958,-21.691639
36 inch TV with premium cable,Entertainment/Tech,-25.587336,10.239348
"37 inch HDTV with Chromecast, Amazon Prime Video, Disney+",Entertainment/Tech,-74.21321,-4.275665
37 inch HDTV with Netflix,Entertainment/Tech,-39.92334,-22.31328
37 inch HDTV with premium cable,Entertainment/Tech,-26.343014,11.432278
"37 inch HDTV with premium cable, standard cable",Entertainment/Tech,-26.351782,11.337351
37 inch TV,Entertainment/Tech,-24.8583,-0.17066173
"37 inch TV with premium cable, standard cable",Entertainment/Tech,-26.309958,11.086929
38 inch HDTV,Entertainment/Tech,-23.344103,-2.3058527
"38 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-49.36885,-2.3287125
"38 inch HDTV with Disney+, Netflix",Entertainment/Tech,-65.91357,5.451092
38 inch HDTV with Netflix,Entertainment/Tech,-40.269558,-22.215326
38 inch HDTV with premium cable,Entertainment/Tech,-26.472673,11.516533
"38 inch HDTV with premium cable, standard cable, DVD player",Entertainment/Tech,-29.911573,7.4547186
"38 inch HDTV with standard cable, DVD player",Entertainment/Tech,-30.01703,7.424687
"38 inch TV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-74.11066,-10.461608
38 inch TV with Apple TV,Entertainment/Tech,-48.767677,2.0727494
38 inch TV with Netflix,Entertainment/Tech,-40.600597,-22.14369
38 inch TV with standard cable,Entertainment/Tech,-26.599392,9.670876
"39 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-74.06312,-10.712419
39 inch HDTV with Netflix,Entertainment/Tech,-40.36711,-22.117134
"39 inch HDTV with standard cable, DVD player",Entertainment/Tech,-30.135118,7.5786467
39 inch TV with Netflix,Entertainment/Tech,-40.685005,-21.994383
39 inch TV with standard cable,Entertainment/Tech,-26.725746,9.677928
4 inch HDTV,Entertainment/Tech,-21.894033,-3.4975648
4 stainless steel single oven,Kitchen/Dining,46.116592,0.09060109
40 inch HDTV,Entertainment/Tech,-24.130133,-1.9623057
40 inch HDTV with Amazon Prime Video,Entertainment/Tech,-71.207664,-16.0383
"40 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, standard cable",Entertainment/Tech,-59.131985,-16.790718
"40 inch HDTV with Amazon Prime Video, Apple TV, Netflix",Entertainment/Tech,-73.56814,-15.272783
"40 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix",Entertainment/Tech,-77.72603,-4.404307
"40 inch HDTV with Amazon Prime Video, Chromecast, Netflix",Entertainment/Tech,-78.01188,-4.208454
"40 inch HDTV with Amazon Prime Video, Chromecast, Netflix, Disney+",Entertainment/Tech,-77.67337,-4.421963
"40 inch HDTV with Amazon Prime Video, Disney+, Netflix",Entertainment/Tech,-74.18364,-11.340261
"40 inch HDTV with Amazon Prime Video, HBO Max, Apple TV",Entertainment/Tech,-73.63989,-14.901343
"40 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-71.80584,-18.990118
"40 inch HDTV with Amazon Prime Video, Netflix, premium cable",Entertainment/Tech,-56.915134,-16.555346
"40 inch HDTV with Amazon Prime Video, Netflix, premium cable, standard cable",Entertainment/Tech,-56.997326,-16.35508
"40 inch HDTV with Amazon Prime Video, Netflix, standard cable",Entertainment/Tech,-56.783924,-16.512993
40 inch HDTV with Apple TV,Entertainment/Tech,-49.580063,2.4651055
"40 inch HDTV with Apple TV, Amazon Prime Video, Netflix, Hulu",Entertainment/Tech,-76.424225,-14.134883
"40 inch HDTV with Apple TV, Chromecast, Disney+, Netflix",Entertainment/Tech,-77.03416,-0.705268
"40 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-50.08376,-1.9701768
"40 inch HDTV with Apple TV, Netflix, premium cable",Entertainment/Tech,-52.339855,-6.6137433
"40 inch HDTV with Apple TV, Netflix, premium cable, standard cable",Entertainment/Tech,-52.487312,-6.57437
40 inch HDTV with Chromecast,Entertainment/Tech,-79.90617,9.827195
"40 inch HDTV with Chromecast, DVD player, Netflix",Entertainment/Tech,-80.11276,2.4361622
"40 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-81.27902,4.4854355
"40 inch HDTV with Chromecast, Netflix, premium cable, DVD player",Entertainment/Tech,-79.90094,2.2807634
"40 inch HDTV with Chromecast, Netflix, standard cable",Entertainment/Tech,-79.08244,2.8962452
"40 inch HDTV with Chromecast, standard cable",Entertainment/Tech,-77.77262,10.459916
40 inch HDTV with Disney+,Entertainment/Tech,-66.16074,7.349687
"40 inch HDTV with Disney+, Netflix",Entertainment/Tech,-65.946205,5.1207814
"40 inch HDTV with Fire TV, Netflix",Entertainment/Tech,-37.874058,-3.7451444
"40 inch HDTV with HBO Max, Netflix",Entertainment/Tech,-33.911747,-13.317346
"40 inch HDTV with Hulu, Netflix, standard cable",Entertainment/Tech,-50.776676,-19.226122
40 inch HDTV with Netflix,Entertainment/Tech,-42.110638,-21.238321
"40 inch HDTV with Netflix, Amazon Prime Video",Entertainment/Tech,-71.780716,-19.112299
"40 inch HDTV with Netflix, Apple TV, Disney+, Amazon Prime Video, Hulu",Entertainment/Tech,-76.46237,-13.842523
"40 inch HDTV with Netflix, Chromecast",Entertainment/Tech,-81.30797,4.4919643
"40 inch HDTV with Netflix, DVD player",Entertainment/Tech,-42.573654,-21.107698
"40 inch HDTV with Netflix, Fire TV",Entertainment/Tech,-37.85885,-3.7999642
"40 inch HDTV with Netflix, Roku, standard cable",Entertainment/Tech,-50.161213,-19.373915
"40 inch HDTV with Netflix, premium cable",Entertainment/Tech,-49.407467,-19.190025
"40 inch HDTV with Netflix, premium cable, standard cable",Entertainment/Tech,-50.1437,-18.513271
"40 inch HDTV with Netflix, standard cable",Entertainment/Tech,-49.337162,-18.769585
"40 inch HDTV with Netflix, standard cable, Amazon Prime Video",Entertainment/Tech,-56.63977,-16.65328
"40 inch HDTV with Netflix, standard cable, DVD player",Entertainment/Tech,-50.05634,-17.870728
"40 inch HDTV with Netflix, standard cable, premium cable",Entertainment/Tech,-50.13616,-18.523155
40 inch HDTV with premium cable,Entertainment/Tech,-28.747442,9.541856
"40 inch HDTV with premium cable, Apple TV, Netflix",Entertainment/Tech,-52.34757,-6.79121
"40 inch HDTV with premium cable, DVD player",Entertainment/Tech,-29.623049,8.303255
"40 inch HDTV with premium cable, Fire TV",Entertainment/Tech,-36.74764,-0.0257084
"40 inch HDTV with premium cable, Netflix",Entertainment/Tech,-49.507416,-19.180681
"40 inch HDTV with premium cable, standard cable",Entertainment/Tech,-28.627829,9.631333
"40 inch HDTV with premium cable, standard cable, DVD player",Entertainment/Tech,-29.666445,8.237072
"40 inch HDTV with premium cable, standard cable, Netflix",Entertainment/Tech,-50.243343,-18.49338
40 inch HDTV with standard cable,Entertainment/Tech,-28.583565,9.653369
"40 inch HDTV with standard cable, Chromecast",Entertainment/Tech,-77.80444,10.4254265
"40 inch HDTV with standard cable, DVD player",Entertainment/Tech,-29.89885,8.161307
"40 inch HDTV with standard cable, Netflix",Entertainment/Tech,-49.45796,-18.746664
"40 inch HDTV with standard cable, Netflix, premium cable",Entertainment/Tech,-50.23187,-18.472475
"40 inch HDTV with standard cable, premium cable",Entertainment/Tech,-28.633276,9.63388
40 inch TV,Entertainment/Tech,-25.26399,-1.2722337
"40 inch TV with Amazon Prime Video, Chromecast, Netflix, standard cable",Entertainment/Tech,-78.62552,-4.8463197
"40 inch TV with Amazon Prime Video, Hulu, Netflix, Disney+, DVD player",Entertainment/Tech,-76.437386,-13.464581
"40 inch TV with Amazon Prime Video, Netflix",Entertainment/Tech,-71.927925,-19.29815
"40 inch TV with Amazon Prime Video, Netflix, premium cable, DVD player",Entertainment/Tech,-57.449703,-16.681772
40 inch TV with Apple TV,Entertainment/Tech,-49.251118,2.3085399
"40 inch TV with Apple TV, Netflix",Entertainment/Tech,-50.01018,-1.9101163
"40 inch TV with Apple TV, standard cable, Disney+, Netflix, Amazon Prime Video",Entertainment/Tech,-59.372803,-16.867695
40 inch TV with Chromecast,Entertainment/Tech,-79.98075,9.552609
"40 inch TV with Chromecast, Apple TV, DVD player, Netflix, standard cable",Entertainment/Tech,-79.48651,1.846863
"40 inch TV with Chromecast, Netflix",Entertainment/Tech,-81.39981,4.47723
"40 inch TV with Chromecast, premium cable",Entertainment/Tech,-78.269585,9.94754
40 inch TV with DVD player,Entertainment/Tech,-30.499142,3.8691475
40 inch TV with Netflix,Entertainment/Tech,-41.794632,-21.40656
"40 inch TV with Netflix, Amazon Prime Video",Entertainment/Tech,-71.91566,-19.354351
"40 inch TV with Netflix, Amazon Prime Video, Apple TV, Disney+",Entertainment/Tech,-76.43619,-13.249322
"40 inch TV with Netflix, premium cable",Entertainment/Tech,-49.086323,-19.440237
"40 inch TV with Netflix, standard cable",Entertainment/Tech,-48.931816,-18.978254
"40 inch TV with premium cable, standard cable",Entertainment/Tech,-28.12342,9.421227
40 inch TV with standard cable,Entertainment/Tech,-27.75516,9.457413
"400 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-50.839043,-1.4289709
"400 inch HDTV with Netflix, premium cable, standard cable",Entertainment/Tech,-51.279785,-18.252699
